Relatório de campanhas
leofelipesc@gmail.com
1 de jun. de 2026 - 28 de ago. de 2026

Dia,Campanha,Impr.,Cliques,CTR,CPC méd.,Custo,Conversões,Custo / conv.,Taxa de conv.
26/08/2026,Lançamento - Coleção Verão,3.860,91,"2,36%","R$ 1,87","R$ 169,73",3,"R$ 56,58","3,30%"
26/08/2026,Promoção - Frete Grátis,3.796,128,"3,37%","R$ 1,79","R$ 228,95",5,"R$ 45,79","3,91%"
27/08/2026,Black Friday - Roupas,7.654,244,"3,19%","R$ 2,24","R$ 546,07",12,"R$ 45,51","4,92%"
27/08/2026,Institucional - Marca,5.410,77,"1,42%","R$ 3,01","R$ 231,85",0,-,"0,00%"
27/08/2026,Remarketing - Carrinho Abandonado,13.419,589,"4,39%","R$ 2,69","R$ 1.583,42",58,"R$ 27,30","9,85%"
27/08/2026,Lançamento - Coleção Verão,2.098,40,"1,91%","R$ 1,01","R$ 40,50",1,"R$ 40,50","2,50%"
27/08/2026,Promoção - Frete Grátis,796,21,"2,64%","R$ 1,72","R$ 36,20",1,"R$ 36,20","4,76%"
28/08/2026,Black Friday - Roupas,1.274,39,"3,06%","R$ 2,63","R$ 102,53",2,"R$ 51,27","5,13%"
28/08/2026,Institucional - Marca,5.588,70,"1,25%","R$ 2,80","R$ 196,27",1,"R$ 196,27","1,43%"
28/08/2026,Remarketing - Carrinho Abandonado,3.625,216,"5,96%","R$ 3,16","R$ 682,73",30,"R$ 22,76","13,89%"
28/08/2026,Lançamento - Coleção Verão,14.512,325,"2,24%","R$ 2,08","R$ 677,30",6,"R$ 112,88","1,85%"
28/08/2026,Promoção - Frete Grátis,3.464,100,"2,89%","R$ 3,38","R$ 338,49",4,"R$ 84,62","4,00%"
Total,,3.295.371,89.230,-,-,"R$ 190.523,63",5.207,-,-
